event 1,event 2,cost
188,172,245500
132,131,200000
548,521,173700
536,516,185600
198,204,182600
416,406,227900
696,675,220700
446,431,212000
930,876,271400
439,425,268800
682,616,277800
255,249,332500
604,573,338900
837,769,287500
141,123,384600
465,422,371400
460,477,350000
236,250,500001
371,350,175000
998,949,241700
1108,1000,216700
368,350,211300
698,694,210200
195,189,196400
353,339,191700
300,292,182300
755,713,175000
324,321,165900
404,372,156900
367,346,164300
460,430,150000
607,563,150500
450,445,169900
668,608,147400
472,449,152700
435,414,182700
417,358,179300
691,636,157700
550,568,153100
305,267,250000
186,175,206300
372,365,218800
583,548,198200
1744,1742,253600
832,794,257400
744,679,289500
604,538,241700
517,459,489600
191,202,446200
318,295,456300
444,449,336800
225,214,500001
474,496,500001
663,590,376900
768,755,309600
920,815,182300
400,326,172700
300,255,150800
426,363,153600
83,77,106300
307,319,142300
145,132,119400
198,204,147900
484,466,132900
419,414,132500
813,765,126900
2408,2051,143800
379,361,500001
310,315,500001
335,335,500001
366,352,500001
381,369,466100
396,383,500001
246,227,457800
312,316,471600
203,179,500001
517,520,398600
403,398,340700
516,518,289900
323,321,335300
177,162,333000
235,223,241000
179,160,189600
386,373,206300
566,567,215700
220,215,210200
320,264,208800
157,158,197900
217,208,201300
239,216,190800
280,265,207900
264,265,215300
263,286,212900
535,486,292700
869,855,275000
368,355,200000
,1273,173400
309,300,102200
363,347,220800
1073,966,242800
763,663,265400
306,327,219000
350,299,282100
388,434,372000
377,363,225800
481,457,220800
559,518,234500
458,445,254200
315,297,351800
371,340,275000
168,172,405400
444,413,228100
479,477,234000
284,266,162500
1110,1053,243400
542,535,273800
185,176,248500
516,472,244000
471,446,240900
246,253,306300
289,268,240000
,146,247100
753,797,286600
581,522,266700
525,492,229800
436,415,229300
1249,1235,228400
365,390,206200
2885,2718,350700
1379,1312,231000
648,632,252900
1554,1484,353900
1270,1151,291700
365,326,100000
2045,2007,341600
467,512,412500
570,529,248600
302,270,254900
480,455,241500
477,484,295200
531,521,340400
368,367,274700
350,365,238600
387,367,266400
366,350,330200
824,819,206800
622,595,209200
625,568,195800
282,269,253500
336,329,241800
1073,1035,252500
269,263,263900
295,301,227000
657,652,220900
447,410,259300
272,277,232500
310,315,231600
790,770,209400
736,694,223200
758,710,209900
1107,1051,208200
618,552,203800
499,467,195700
1309,1295,190500
324,284,181000
274,244,184900
202,205,190800
685,668,242200
817,800,188300
557,550,183500
201,192,204200
403,393,251900
316,288,187500
416,412,198200
223,230,219000
129,143,275000
819,736,245400
470,435,177500
408,385,171600
289,292,183300
206,207,175000
313,305,156700
147,135,157500
200,198,179800
533,519,205500
554,525,178900
69,58,262500
659,664,165000
284,289,159700
398,328,158300
245,239,144800
814,789,166300
242,253,191000
132,134,175000
601,485,137500
587,573,141700
372,379,210900
251,266,198300
1047,962,157400
320,334,264700
394,353,218400
390,368,235100
268,270,341800
394,397,367300
383,392,243500
207,210,167900
153,171,371200
132,132,218900
253,248,202700
451,444,186200
339,346,188900
298,270,180000
1526,1352,202700
866,789,181700
1007,1044,166800
557,544,183700
710,703,218000
178,183,191500
244,261,194700
292,330,187200
1054,998,223100
769,643,271300
228,239,194100
391,379,190400
317,301,189100
221,222,184600
287,276,197300
252,229,192600
219,228,192200
208,225,194600
303,311,193500
365,362,202600
348,352,83300
391,366,212600
407,401,187800
278,283,205700
273,267,192900
447,486,205200
443,383,213400
308,335,183600
535,555,178400
613,607,219200
716,628,183100
500,485,157100
269,279,157800
278,237,161700
284,289,152100
787,750,144900
617,538,179900
508,536,179100
635,579,159900
461,443,161400
306,338,170400
789,724,137500
,161,178400
651,618,155200
310,309,160900
560,472,167300
25,31,340000
194,171,431000
590,573,301100
236,249,241900
936,792,162500
357,352,299200
1326,1288,315500
1279,1294,216800
426,431,218100
1207,1047,170300
370,137,275000
682,607,184100
168,152,160000
305,308,175000
353,314,197500
110,120,150000
538,540,205600
463,467,170300
348,293,190900
342,324,196900
503,448,174000
481,465,170200
413,400,180900
897,903,150500
428,389,167100
484,448,148900
253,267,196400
394,375,191100
389,370,187500
401,399,180600
445,422,182800
399,401,179300
340,328,179400
518,538,210300
533,500,192300
398,390,198100
249,243,196200
347,332,181600
,557,186900
534,543,188300
318,317,184000
681,694,184700
703,665,179900
247,224,167200
811,703,165400
655,603,154000
500,478,153500
313,271,135400
259,274,158300
318,340,240700
816,743,180700
671,616,230600
739,624,210800
409,394,165300
251,242,254200
419,415,332600
348,384,350000
610,587,161200
1168,1042,179300
372,356,154300
790,740,161800
1439,1299,161900
393,374,165400
436,437,166600
191,206,149700
142,149,162100
464,448,152600
722,634,195200
192,184,190600
200,194,193800
115,112,200600
643,603,150000
225,234,185300
316,299,172700
652,643,174100
494,501,194400
311,278,206700
327,319,204500
76,82,175000
27,25,137500
2031,1946,187200
458,467,173600
167,183,163000
808,734,331600
280,301,197600
849,746,197900
102,77,228100
242,249,189500
284,292,184200
435,408,180900
245,248,172000
199,226,177900
307,271,173100
212,200,172600
1253,1113,182100
440,418,179500
171,185,176000
127,149,192600
133,160,182700
1516,1463,134900
723,693,157600
860,862,190900
304,282,158200
450,430,350000
286,291,158200
252,220,146100
172,159,226700
352,350,198700
547,527,221200
173,176,208500
118,134,204200
324,302,193200
236,204,209500
271,281,164900
259,241,161400
216,215,187000
179,185,190400
364,346,156600
518,550,157300
376,337,168100
465,453,177600
1374,1289,208900
356,364,169200
346,351,163900
293,310,164700
108,107,156900
274,249,168800
221,243,174100
309,313,206500
443,395,203900
711,703,217000
345,338,159600
522,437,159800
280,300,154300
295,328,149600
302,268,188600
638,602,238500
497,514,235300
474,433,261400
832,817,234400
276,310,231700
365,355,156300
551,528,222000
418,410,254400
251,267,244300
240,268,247000
544,488,236500
686,653,151400
338,344,213700
302,273,243600
1273,1274,212500
383,389,214700
333,319,213200
889,817,256000
295,149,237500
760,728,178100
717,721,231800
94,92,147900
678,628,191700
783,789,247600
597,559,283500
1031,975,216900
478,485,282500
717,688,295600
2993,2847,281800
2708,2606,269800
1064,1057,231200
1407,1379,318300
1376,1348,253400
1818,1797,278200
311,245,300000
2861,2753,273500
857,829,223400
312,316,214500
964,924,220200
1492,1491,240300
778,736,158000
532,495,224200
274,267,177200
485,501,216100
1005,971,269700
1294,1235,231200
993,838,162500
1823,1772,254000
344,322,196200
1247,1182,189400
1375,1339,220800
2098,1903,213800
748,714,442900
1540,1520,333400
192,220,352400
526,538,305300
342,304,259600
645,585,248900
382,410,356000
1207,1108,236000
475,492,218800
529,545,228000
652,586,235900
496,467,203200
420,413,197000
387,406,236400
566,540,223200
703,639,222700
371,404,225000
715,661,240100
507,516,227900
415,453,268600
744,749,275100
495,468,256300
1249,1134,332400
406,395,287600
371,357,298900
303,314,287600
939,923,222200
623,613,232600
511,504,258300
948,894,230900
764,763,196900
1125,1086,223500
741,734,223900
973,960,243500
3864,3701,451100
577,591,500001
1588,1466,193100
676,623,264400
322,357,246900
744,760,337300
1373,1404,284800
532,483,217300
532,515,291700
369,377,223800
731,703,223100
835,823,211300
922,890,218500
97,100,156300
1068,1060,248200
343,338,186000
672,639,178200
478,467,190400
264,236,210300
856,870,208000
437,404,183300
712,709,245700
673,681,242200
1390,1316,181700
1576,1506,299400
716,687,219500
668,671,231800
637,642,221300
459,444,213800
845,805,206000
1027,970,271100
1050,1062,336500
209,208,315600
424,400,500001
555,559,285400
1137,1115,323000
223,219,291900
582,456,225600
308,299,259600
254,260,262900
547,520,257300
423,427,259200
1207,1136,339700
270,286,337200
239,245,334100
624,577,311500
301,324,296900
471,474,247900
288,295,300400
273,285,332400
1294,1229,389800
680,642,233000
116,102,238500
134,123,233300
464,461,231300
184,172,475800
833,825,393200
800,743,247200
294,278,229400
741,742,282500
701,663,300600
664,640,293200
242,214,278500
2074,1950,352900
40,42,400000
23,21,375000
1344,1391,313700
1510,1241,139300
554,576,327500
306,279,430600
74,58,125000
352,252,450000
1049,1067,200200
2220,2125,192400
81,85,418800
943,910,216800
639,662,215500
351,319,227700
711,709,184400
372,372,158400
498,461,174600
588,572,168400
1082,1047,188400
736,679,256700
536,522,183800
299,263,183400
357,349,177500
207,197,186900
3493,3293,238900
872,680,172500
112,109,179200
418,419,204400
299,288,209400
1217,1259,264200
518,468,350000
344,321,199800
339,346,211000
278,269,201100
418,354,193000
2210,2232,245000
282,152,117600
465,196,97900
543,102,140600
702,411,120900
558,466,119000
249,181,129200
474,356,99100
357,277,108900
891,433,111700
254,187,68900
195,157,96400
337,262,116700
309,240,123800
297,288,97900
246,214,129800
265,228,121300
234,216,107200
322,287,121900
765,698,113400
653,600,99100
492,438,103000
449,305,114200
1085,953,144100
816,743,128600
347,306,157200
420,381,118500
305,267,116700
691,603,134800
614,566,109900
231,213,144300
256,242,123600
1921,1775,112600
1116,1149,107300
1578,1494,117800
1177,1199,89900
620,548,102300
1785,1667,87300
1860,1906,142600
3298,3262,153100
296,297,126600
309,293,118300
290,265,147000
127,129,78100
265,264,85800
689,632,84500
80,98,137500
827,758,88900
843,784,120200
1053,1000,74500
599,560,85100
604,594,130300
378,374,125200
1375,1365,111400
372,379,97000
1355,1264,122600
1189,1077,116300
28,29,179200
659,626,85800
152,154,94800
100,100,200000
232,198,112500
389,342,69000
263,223,55000
401,377,77900
1559,1524,98800
420,383,78700
1054,980,81300
517,449,60300
694,679,66300
250,281,116700
825,810,159700
451,437,139200
299,286,89600
105,94,153100
422,403,87500
,600,158600
279,272,95100
278,250,93800
559,449,95300
748,728,141300
262,27,67500
285,235,73000
269,261,119600
904,812,93200
307,312,117900
727,658,97200
369,354,97600
699,660,95300
727,634,107700
533,532,102900
171,168,88300
570,543,86500
205,207,58000
343,296,84000
313,303,89500
327,309,93400
137,152,115200
459,440,105700
276,273,97300
523,465,108600
257,232,104900
485,453,110200
332,318,103800
206,211,80800
497,455,87300
556,556,85500
512,427,85000
366,359,93500
318,303,96700
482,490,109700
559,529,85800
261,258,92800
296,257,70500
334,335,121800
556,514,102600
655,613,101200
522,512,168300
292,285,126100
330,344,83800
591,499,92600
345,330,111200
408,334,87500
331,306,87500
610,391,94700
148,102,62500
284,211,83300
527,497,85700
197,197,79500
429,397,53600
421,415,65200
204,205,84100
1000,919,142300
153,155,93800
325,292,90800
242,230,91800
636,607,97500
293,295,91200
161,159,73800
185,186,86400
757,765,62100
610,575,72200
353,310,57600
198,161,58300
288,260,51700
245,190,57900
385,347,53100
469,436,56100
490,479,58000
372,385,56700
383,337,57600
416,385,63300
324,323,59800
325,289,65200
54,40,42500
827,737,45100
310,275,39400
329,274,50300
596,617,53800
315,302,53900
107,90,41800
468,429,88900
241,231,82600
238,233,63600
494,468,59400
523,475,60600
255,239,57100
283,289,49000
389,374,80400
735,667,96200
34,37,60000
150,138,61300
482,462,73800
502,502,86300
251,227,86400
224,187,84600
154,142,73500
471,428,56200
373,365,57000
243,242,63900
495,470,56000
186,165,63000
435,409,85500
192,185,81300
284,275,57600
342,323,59400
327,334,81900
180,166,82100
781,697,116000
325,291,116100
559,491,94900
224,199,92200
148,140,79900
1475,930,133000
715,615,122600
235,190,90400
641,526,93200
387,364,125900
680,598,133100
1288,1115,130600
681,546,104000
543,492,101600
611,564,92600
847,706,122300
161,125,112500
307,237,86600
294,267,77400
663,411,91900
338,226,100900
312,230,94700
358,250,84800
845,609,139900
722,223,121400
546,103,155800
1056,408,111500
829,383,123500
856,459,113700
695,124,103800
662,97,108300
369,33,77500
218,199,65800
323,286,67500
774,747,59200
1204,1142,72000
295,281,92800
38,45,112500
62,49,75000
174,147,108000
895,810,65500
230,175,61500
552,476,62700
386,214,68800
372,307,69100
392,396,75800
250,249,75000
130,89,112500
694,482,192400
596,500,209400
411,326,183800
1522,1272,189100
1314,1293,156500
1143,1088,168800
599,575,162800
519,512,172900
718,707,129700
195,164,213500
225,238,119400
320,300,131100
441,403,125400
452,465,151400
358,350,263100
291,267,187100
405,403,156700
774,763,186300
612,558,152500
394,350,241400
2252,1722,340900
287,287,154400
415,320,253900
495,447,109400
430,393,105100
245,226,128500
43,40,93800
253,266,99100
281,239,96400
606,568,127000
22,21,87500
469,422,133900
814,618,146800
593,566,124700
581,548,110200
567,523,130800
375,396,174500
534,510,168100
445,437,170400
359,340,150800
605,607,165200
254,247,93500
452,420,113400
579,540,97300
567,565,131000
570,566,133400
584,542,100000
1646,1458,103600
288,259,145300
174,174,152400
296,279,145900
449,460,142500
738,684,75800
952,901,126100
385,388,142600
462,453,164700
234,213,108500
609,586,178600
534,535,164700
475,459,122500
465,446,179500
780,716,205100
619,469,158600
331,259,90200
59,54,67500
439,476,99400
250,231,101400
689,608,87700
466,382,87000
550,545,94600
369,372,181800
746,678,117800
440,408,140300
1284,1202,150000
743,722,134400
117,129,151900
927,849,165200
464,453,161700
597,461,170500
515,507,174200
442,415,144100
312,311,163900
751,641,103900
360,341,122200
454,481,136000
479,484,156500
188,212,99200
766,722,110600
363,322,162200
368,375,177500
248,262,166000
389,365,160800
286,308,154800
,1012,143100
478,420,87100
542,505,95300
833,810,100700
1170,1131,113900
464,434,100200
355,338,125000
558,527,129800
554,498,83500
685,649,139800
518,503,98500
247,237,156900
408,431,165900
432,385,133900
34,30,225000
508,451,166000
494,474,144800
341,316,178300
309,298,139300
652,640,150800
290,277,196100
306,231,116100
272,283,129400
1404,1334,166400
263,239,126500
355,363,135700
367,381,172400
339,345,113700
824,776,159700
202,184,156300
1882,1789,204200
583,543,212600
739,732,199900
506,493,205400
710,676,206700
514,507,287700
439,467,245200
779,727,294100
679,660,297300
871,872,211000
277,261,225400
655,646,269600
650,611,228200
206,235,235500
574,597,166900
1639,1468,186100
353,341,211800
290,289,197100
313,304,189600
1534,1502,266000
386,370,186400
388,385,190000
548,536,243000
157,148,235600
199,194,196200
1691,1507,182000
277,269,169400
1194,1185,179300
972,893,235700
488,476,205100
276,221,220800
689,662,233200
357,366,232100
234,258,265700
209,209,247900
1022,1022,273200
733,709,91100
279,267,134500
495,441,136200
10,19,250000
469,474,87500
316,269,137500
472,393,136400
217,232,75000
477,482,156300
316,286,140600
581,593,178300
562,588,175900
541,480,139900
567,535,138200
533,472,178200
537,566,169300
416,397,161900
327,350,166600
252,217,148900
336,297,165500
373,370,194000
169,173,226900
428,431,202800
527,512,211500
401,369,165500
343,331,161700
641,659,192300
337,341,193200
411,399,184000
428,443,217200
201,172,182000
77,88,161300
267,252,161000
401,351,144900
393,374,259500
289,296,210500
183,205,244100
290,313,184800
273,270,229200
740,676,196100
,540,204100
264,273,240200
390,409,231100
428,430,213200
509,474,207200
589,543,184100
666,678,179000
713,647,190700
765,715,167800
709,662,246700
1122,1014,126700
479,461,260400
423,426,200600
854,820,267400
406,397,265900
498,478,206200
436,416,171000
338,336,151100
626,573,160900
931,903,166700
723,693,106300
1839,1735,112500
245,261,151000
346,298,151800
384,401,159800
252,252,165700
729,623,175000
791,694,182000
107,123,190800
539,513,298200
368,366,305100
691,627,162500
793,716,220500
260,272,208300
313,317,202300
510,508,237000
661,623,213100
,499,322300
612,594,267100
224,220,268000
298,292,273600
256,239,339200
335,334,330200
334,328,163100
873,888,231400
354,365,227800
138,133,197100
1213,1091,144600
776,737,279300
624,615,344800
1153,881,266500
1603,1546,184900
2558,2412,234700
640,636,351200
408,393,358800
1269,1219,367700
871,890,275300
1422,1288,232800
1685,1554,216100
1590,1458,114300
244,238,226000
1521,1433,252100
739,684,225000
469,435,250000
265,274,264900
295,295,259800
277,254,292500
170,173,306800
1455,1380,306900
746,670,266800
501,489,283900
770,744,288000
343,340,268800
124,123,263300
703,714,340900
329,322,397500
1020,873,271000
484,473,335700
269,283,310600
322,346,349100
862,851,321200
1044,963,275800
858,778,356200
550,557,312700
477,452,390600
780,761,469400
291,290,258200
1068,994,260300
347,351,275000
231,224,350000
170,167,250000
837,813,266000
370,377,269800
327,295,157200
419,402,343500
735,761,296100
824,773,312500
422,425,345800
330,343,343700
387,372,359100
778,765,403400
418,381,356000
1657,1555,369200
484,501,341300
2826,2579,356700
463,432,425100
1439,1307,356100
269,258,461400
51,43,432400
35,49,434700
20,9,350000
581,567,381900
1007,947,324600
389,417,399300
265,263,443800
549,544,386600
458,432,256400
271,269,200000
738,710,500001
1364,1286,294800
83,75,188500
907,896,359300
447,467,358700
438,421,287300
369,377,441400
393,376,494000
1074,993,500001
126,122,500001
977,943,398200
946,908,500001
379,392,500001
380,396,372000
1248,1167,351300
898,907,450400
1424,1374,382200
626,590,500001
144,136,294400
746,732,500001
755,723,455300
139,132,406500
653,601,310300
516,492,279500
614,606,348200
362,363,433300
733,684,257100
214,169,350000
220,229,426100
1096,1124,394400
318,264,387200
462,294,99400
,626,85000
1359,1286,102700
1556,1449,186500
205,191,155000
1014,986,252400
224,208,206300
564,531,73400
528,517,367100
760,770,402600
500,457,314200
686,657,454100
159,141,500001
513,498,416500
317,313,364500
741,712,369900
237,252,500001
1182,1141,314000
1276,1269,389900
343,373,355600
705,650,370200
493,483,404300
119,121,354200
636,617,399700
241,258,434500
508,506,401800
502,480,423200
177,183,438000
13,15,475000
560,517,367500
160,155,378100
876,843,500001
287,280,500001
610,572,500001
735,734,499000
1089,1016,204200
236,202,166800
2546,2359,213700
244,235,162500
373,335,500001
1355,1257,500001
416,395,500001
659,621,485400
707,698,210100
505,501,194700
791,709,181200
411,431,285400
464,494,307000
337,337,353600
345,334,365800
224,226,427700
292,264,366700
884,839,237400
355,346,288000
198,217,329400
174,180,291700
427,428,320400
391,377,286900
262,245,312600
216,219,253600
267,266,205100
532,520,197600
327,324,198500
962,911,310700
266,257,171100
358,297,147100
559,487,155700
500,487,197000
361,353,203700
405,372,134500
282,288,150200
539,480,123000
297,307,147700
1611,1396,174200
413,417,178900
1081,1016,173200
393,369,175400
317,341,162000
641,633,191100
874,772,195000
622,571,193300
329,349,198000
737,725,243200
479,474,218600
786,716,184800
565,555,269400
315,307,235600
411,400,237700
391,398,170500
104,91,246400
166,178,240300
242,233,248700
908,872,272900
347,350,209800
243,264,201000
2275,2338,272400
772,718,184000
528,452,164700
632,580,227400
377,340,149700
1426,1362,190000
353,359,196600
349,335,191400
403,384,194200
245,239,185000
1137,1081,157800
806,792,164300
464,490,161000
492,496,171100
711,679,109000
534,516,170800
968,893,173500
397,418,162800
326,377,85100
544,515,175000
1079,887,112500
6,11,212500
57,52,104200
276,232,80400
102,81,69800
45,34,81300
363,268,76400
402,350,68600
15,25,67500
410,427,131300
726,686,132900
109,81,110000
504,423,113600
482,471,112200
685,641,113800
292,300,134100
190,209,156600
1335,1165,158800
348,364,150100
376,398,130800
580,551,120700
236,251,129400
531,524,114200
524,443,97200
346,295,97700
595,548,110300
335,319,93900
317,280,107800
403,412,133700
357,294,182800
354,331,146100
569,509,120800
1717,1560,133300
441,389,103600
522,489,165100
295,352,210800
213,196,186900
336,316,144600
279,260,140400
361,342,140800
389,377,141600
345,334,139100
332,309,150800
240,270,134100
329,373,135800
339,322,142600
317,311,135300
368,329,133400
427,385,135100
298,241,111700
431,431,111600
290,303,114600
289,248,104700
433,430,143300
444,435,140300
455,411,145500
451,444,143900
493,452,105200
459,422,105200
275,273,95600
248,286,81700
188,161,79000
249,265,105800
343,338,72900
585,462,79700
229,195,71600
366,316,88000
488,439,84300
107,111,79400
254,229,121600
266,239,69100
756,749,37900
711,676,269800
779,728,274500
33,38,275000
481,428,95000
416,395,91500
449,432,86100
389,372,87000
190,174,84200
513,440,93800
200,236,94000
41,43,104200
798,712,186800
471,441,90300
424,442,111500
652,584,88300
486,459,112100
75,82,156300
399,454,140600
779,740,122400
977,953,129100
647,555,119600
696,682,167800
511,528,178400
834,773,177800
371,345,286500
408,404,253400
489,481,247300
283,275,267700
605,614,321600
88,84,288200
234,231,401000
357,306,304000
256,263,261900
73,63,22500
236,204,183300
236,279,220100
600,519,195800
220,199,186900
407,361,212200
271,285,239000
348,348,218100
569,559,200400
617,589,209100
489,462,217200
435,415,223000
308,303,141700
471,437,162500
235,234,311400
424,378,263200
346,354,262000
329,339,273700
500,489,234900
348,329,358500
516,507,333700
249,248,287500
482,490,324400
315,296,315500
298,286,331200
480,436,109400
552,478,85800
616,479,73200
722,647,68400
714,640,74600
699,653,78300
787,721,66900
538,514,105900
569,530,69500
578,494,122400
324,283,75000
531,456,103600
628,585,103100
360,314,152700
357,258,116700
636,499,71100
386,255,212500
107,18,187500
352,269,87500
580,353,92200
536,396,91300
517,223,173400
408,44,200000
334,180,84600
185,108,107200
444,342,114800
292,188,131600
393,254,104200
632,483,110500
216,96,136800
328,219,109700
298,147,99300
289,185,103600
640,351,118500
414,277,141900
272,203,85800
293,226,90400
606,399,86900
312,221,89600
1382,383,313400
610,425,126100
207,180,126600
116,83,103600
246,198,96100
357,278,104200
493,330,107200
246,151,101900
191,143,94400
609,499,86700
422,281,100800
419,308,114100
529,251,107800
572,334,134700
625,328,162500
268,144,127600
512,289,109700
618,285,121400
481,261,117700
588,336,118800
459,300,97600
539,146,87500
402,129,126000
264,26,206300
528,48,437500
282,11,500001
716,682,172200
623,544,163400
352,190,113200
778,691,127300
345,326,128600
423,377,128200
286,248,132600
324,268,119300
291,239,118500
479,323,120100
41,16,87500
435,53,95500
711,659,213300
331,333,239600
274,269,173400
1739,1627,228900
549,451,217500
1046,1024,197500
1074,962,172500
1155,1065,198900
744,723,187900
516,470,186600
404,373,163300
909,900,176900
563,545,217100
436,380,180800
602,555,300600
384,351,170100
748,718,207600
579,517,202800
355,341,196300
859,838,230600
470,420,167400
188,158,184600
300,287,146100
775,734,128300
492,457,142600
385,353,120500
877,881,111300
482,463,121600
